LOCATION;SUBJECT;TIME;Value
AUS;TOT;2012;0.14
AUS;TOT;2014;0.128
AUS;TOT;2016;0.121
AUS;TOT;2018;0.124
AUT;TOT;2007;0.097
AUT;TOT;2008;0.093
AUT;TOT;2009;0.096
AUT;TOT;2010;0.089
AUT;TOT;2011;0.091
AUT;TOT;2012;0.096
AUT;TOT;2013;0.09
AUT;TOT;2014;0.091
AUT;TOT;2015;0.087
AUT;TOT;2016;0.098
AUT;TOT;2017;0.094
AUT;TOT;2018;0.094
AUT;TOT;2019;0.1
BEL;TOT;2018;0.082
BEL;TOT;2019;0.081
CAN;TOT;2000;0.12
CAN;TOT;2001;0.117
CAN;TOT;2002;0.123
CAN;TOT;2003;0.124
CAN;TOT;2004;0.129
CAN;TOT;2005;0.123
CAN;TOT;2006;0.129
CAN;TOT;2007;0.129
CAN;TOT;2008;0.127
CAN;TOT;2009;0.134
CAN;TOT;2010;0.131
CAN;TOT;2011;0.131
CAN;TOT;2012;0.133
CAN;TOT;2013;0.133
CAN;TOT;2014;0.126
CAN;TOT;2015;0.142
CAN;TOT;2016;0.124
CAN;TOT;2017;0.12
CAN;TOT;2018;0.118
CAN;TOT;2019;0.116
CZE;TOT;2004;0.058
CZE;TOT;2005;0.055
CZE;TOT;2006;0.056
CZE;TOT;2007;0.055
CZE;TOT;2008;0.059
CZE;TOT;2009;0.06
CZE;TOT;2010;0.065
CZE;TOT;2011;0.059
CZE;TOT;2012;0.052
CZE;TOT;2013;0.059
CZE;TOT;2014;0.059
CZE;TOT;2015;0.064
CZE;TOT;2016;0.056
CZE;TOT;2017;0.056
CZE;TOT;2018;0.061
CZE;TOT;2019;0.056
DNK;TOT;2011;0.058
DNK;TOT;2012;0.054
DNK;TOT;2013;0.054
DNK;TOT;2014;0.055
DNK;TOT;2015;0.055
DNK;TOT;2016;0.058
DNK;TOT;2017;0.061
DNK;TOT;2018;0.064
FIN;TOT;2000;0.053
FIN;TOT;2001;0.063
FIN;TOT;2002;0.062
FIN;TOT;2003;0.056
FIN;TOT;2004;0.065
FIN;TOT;2005;0.066
FIN;TOT;2006;0.069
FIN;TOT;2007;0.078
FIN;TOT;2008;0.079
FIN;TOT;2009;0.074
FIN;TOT;2010;0.072
FIN;TOT;2011;0.075
FIN;TOT;2012;0.065
FIN;TOT;2013;0.071
FIN;TOT;2014;0.068
FIN;TOT;2015;0.063
FIN;TOT;2016;0.058
FIN;TOT;2017;0.063
FIN;TOT;2018;0.065
FRA;TOT;2012;0.085
FRA;TOT;2013;0.079
FRA;TOT;2014;0.081
FRA;TOT;2015;0.081
FRA;TOT;2016;0.083
FRA;TOT;2017;0.081
FRA;TOT;2018;0.085
FRA;TOT;2019;0.084
DEU;TOT;2008;0.09
DEU;TOT;2011;0.087
DEU;TOT;2012;0.084
DEU;TOT;2013;0.091
DEU;TOT;2014;0.095
DEU;TOT;2015;0.101
DEU;TOT;2016;0.104
DEU;TOT;2017;0.104
DEU;TOT;2018;0.098
GRC;TOT;2004;0.12
GRC;TOT;2005;0.129
GRC;TOT;2006;0.127
GRC;TOT;2007;0.132
GRC;TOT;2008;0.129
GRC;TOT;2009;0.129
GRC;TOT;2010;0.141
GRC;TOT;2011;0.151
GRC;TOT;2012;0.149
GRC;TOT;2013;0.151
GRC;TOT;2014;0.148
GRC;TOT;2015;0.149
GRC;TOT;2016;0.144
GRC;TOT;2017;0.126
GRC;TOT;2018;0.121
GRC;TOT;2019;0.115
HUN;TOT;2006;0.072
HUN;TOT;2007;0.065
HUN;TOT;2008;0.059
HUN;TOT;2009;0.061
HUN;TOT;2010;0.073
HUN;TOT;2011;0.077
HUN;TOT;2012;0.085
HUN;TOT;2013;0.086
HUN;TOT;2014;0.087
HUN;TOT;2015;0.085
HUN;TOT;2016;0.077
HUN;TOT;2017;0.08
HUN;TOT;2018;0.087
HUN;TOT;2019;0.092
ISL;TOT;2004;0.058
ISL;TOT;2005;0.063
ISL;TOT;2006;0.057
ISL;TOT;2007;0.066
ISL;TOT;2008;0.066
ISL;TOT;2009;0.062
ISL;TOT;2010;0.066
ISL;TOT;2011;0.058
ISL;TOT;2012;0.061
ISL;TOT;2013;0.045
ISL;TOT;2014;0.067
ISL;TOT;2015;0.054
ISL;TOT;2016;0.06
ISL;TOT;2017;0.049
IRL;TOT;2004;0.134
IRL;TOT;2005;0.116
IRL;TOT;2006;0.114
IRL;TOT;2007;0.096
IRL;TOT;2008;0.091
IRL;TOT;2009;0.088
IRL;TOT;2010;0.091
IRL;TOT;2011;0.1
IRL;TOT;2012;0.094
IRL;TOT;2013;0.095
IRL;TOT;2014;0.093
IRL;TOT;2015;0.098
IRL;TOT;2016;0.091
IRL;TOT;2017;0.09
IRL;TOT;2018;0.074
ITA;TOT;2004;0.122
ITA;TOT;2005;0.126
ITA;TOT;2006;0.123
ITA;TOT;2007;0.119
ITA;TOT;2008;0.119
ITA;TOT;2009;0.12
ITA;TOT;2010;0.134
ITA;TOT;2011;0.128
ITA;TOT;2012;0.13
ITA;TOT;2013;0.133
ITA;TOT;2014;0.137
ITA;TOT;2015;0.144
ITA;TOT;2016;0.137
ITA;TOT;2017;0.139
ITA;TOT;2018;0.142
KOR;TOT;2015;0.175
KOR;TOT;2016;0.176
KOR;TOT;2017;0.173
KOR;TOT;2018;0.167
LUX;TOT;2015;0.109
LUX;TOT;2016;0.111
LUX;TOT;2017;0.122
LUX;TOT;2018;0.114
LUX;TOT;2019;0.105
MEX;TOT;2012;0.189
MEX;TOT;2014;0.167
MEX;TOT;2016;0.166
MEX;TOT;2018;0.159
NLD;TOT;2011;0.072
NLD;TOT;2012;0.074
NLD;TOT;2013;0.078
NLD;TOT;2014;0.077
NLD;TOT;2015;0.077
NLD;TOT;2016;0.081
NLD;TOT;2017;0.079
NLD;TOT;2018;0.078
NLD;TOT;2019;0.082
NZL;TOT;2011;0.098
NZL;TOT;2012;0.099
NZL;TOT;2014;0.109
NOR;TOT;2004;0.069
NOR;TOT;2008;0.078
NOR;TOT;2009;0.075
NOR;TOT;2010;0.075
NOR;TOT;2011;0.077
NOR;TOT;2012;0.081
NOR;TOT;2013;0.078
NOR;TOT;2014;0.081
NOR;TOT;2015;0.081
NOR;TOT;2016;0.082
NOR;TOT;2017;0.084
NOR;TOT;2018;0.084
NOR;TOT;2019;0.084
POL;TOT;2005;0.124
POL;TOT;2006;0.11
POL;TOT;2007;0.096
POL;TOT;2008;0.107
POL;TOT;2009;0.108
POL;TOT;2010;0.107
POL;TOT;2011;0.106
POL;TOT;2012;0.104
POL;TOT;2013;0.106
POL;TOT;2014;0.104
POL;TOT;2015;0.111
POL;TOT;2016;0.103
POL;TOT;2017;0.096
POL;TOT;2018;0.098
PRT;TOT;2004;0.132
PRT;TOT;2005;0.126
PRT;TOT;2006;0.124
PRT;TOT;2007;0.128
PRT;TOT;2008;0.113
PRT;TOT;2009;0.116
PRT;TOT;2010;0.109
PRT;TOT;2011;0.114
PRT;TOT;2012;0.13
PRT;TOT;2013;0.135
PRT;TOT;2014;0.135
PRT;TOT;2015;0.125
PRT;TOT;2016;0.125
PRT;TOT;2017;0.107
PRT;TOT;2018;0.104
PRT;TOT;2019;0.106
SVK;TOT;2004;0.083
SVK;TOT;2005;0.072
SVK;TOT;2006;0.065
SVK;TOT;2007;0.069
SVK;TOT;2008;0.072
SVK;TOT;2009;0.079
SVK;TOT;2010;0.08
SVK;TOT;2011;0.082
SVK;TOT;2012;0.085
SVK;TOT;2013;0.085
SVK;TOT;2014;0.088
SVK;TOT;2015;0.085
SVK;TOT;2016;0.085
SVK;TOT;2017;0.073
SVK;TOT;2018;0.077
SVK;TOT;2019;0.078
ESP;TOT;2007;0.144
ESP;TOT;2008;0.146
ESP;TOT;2009;0.148
ESP;TOT;2010;0.139
ESP;TOT;2011;0.147
ESP;TOT;2012;0.141
ESP;TOT;2013;0.159
ESP;TOT;2014;0.153
ESP;TOT;2015;0.153
ESP;TOT;2016;0.156
ESP;TOT;2017;0.148
ESP;TOT;2018;0.142
ESP;TOT;2019;0.147
SWE;TOT;2013;0.086
SWE;TOT;2014;0.09
SWE;TOT;2015;0.092
SWE;TOT;2016;0.091
SWE;TOT;2017;0.093
SWE;TOT;2018;0.089
SWE;TOT;2019;0.093
CHE;TOT;2006;0.097
CHE;TOT;2007;0.094
CHE;TOT;2008;0.097
CHE;TOT;2009;0.094
CHE;TOT;2010;0.094
CHE;TOT;2011;0.105
CHE;TOT;2012;0.091
CHE;TOT;2013;0.086
CHE;TOT;2014;0.099
CHE;TOT;2015;0.091
CHE;TOT;2016;0.104
CHE;TOT;2017;0.092
CHE;TOT;2018;0.105
TUR;TOT;2011;0.186
TUR;TOT;2012;0.177
TUR;TOT;2013;0.171
TUR;TOT;2014;0.173
TUR;TOT;2015;0.172
TUR;TOT;2017;0.144
TUR;TOT;2018;0.144
GBR;TOT;2002;0.126
GBR;TOT;2003;0.124
GBR;TOT;2004;0.116
GBR;TOT;2005;0.12
GBR;TOT;2006;0.126
GBR;TOT;2007;0.128
GBR;TOT;2008;0.123
GBR;TOT;2009;0.112
GBR;TOT;2010;0.11
GBR;TOT;2011;0.104
GBR;TOT;2012;0.105
GBR;TOT;2013;0.104
GBR;TOT;2014;0.105
GBR;TOT;2015;0.109
GBR;TOT;2016;0.111
GBR;TOT;2017;0.119
GBR;TOT;2018;0.117
GBR;TOT;2019;0.124
USA;TOT;2013;0.172
USA;TOT;2014;0.175
USA;TOT;2015;0.168
USA;TOT;2016;0.178
USA;TOT;2017;0.178
USA;TOT;2018;0.181
USA;TOT;2019;0.18
EST;TOT;2013;0.158
EST;TOT;2014;0.157
EST;TOT;2015;0.16
EST;TOT;2016;0.158
EST;TOT;2017;0.158
EST;TOT;2018;0.163
EST;TOT;2019;0.149
ISR;TOT;2011;0.181
ISR;TOT;2012;0.184
ISR;TOT;2013;0.186
ISR;TOT;2014;0.186
ISR;TOT;2015;0.195
ISR;TOT;2016;0.177
ISR;TOT;2017;0.179
ISR;TOT;2018;0.169
SVN;TOT;2004;0.079
SVN;TOT;2005;0.071
SVN;TOT;2006;0.074
SVN;TOT;2007;0.079
SVN;TOT;2008;0.079
SVN;TOT;2009;0.083
SVN;TOT;2010;0.091
SVN;TOT;2011;0.086
SVN;TOT;2012;0.095
SVN;TOT;2013;0.095
SVN;TOT;2014;0.093
SVN;TOT;2015;0.092
SVN;TOT;2016;0.086
SVN;TOT;2017;0.085
SVN;TOT;2018;0.075
SVN;TOT;2019;0.074
JPN;TOT;2018;0.157
CHL;TOT;2009;0.178
CHL;TOT;2011;0.184
CHL;TOT;2013;0.168
CHL;TOT;2015;0.161
CHL;TOT;2017;0.165
LVA;TOT;2004;0.142
LVA;TOT;2005;0.176
LVA;TOT;2006;0.146
LVA;TOT;2007;0.186
LVA;TOT;2008;0.191
LVA;TOT;2009;0.141
LVA;TOT;2010;0.133
LVA;TOT;2011;0.129
LVA;TOT;2012;0.133
LVA;TOT;2013;0.145
LVA;TOT;2014;0.164
LVA;TOT;2015;0.162
LVA;TOT;2016;0.167
LVA;TOT;2017;0.166
LVA;TOT;2018;0.175
LVA;TOT;2019;0.162
LTU;TOT;2004;0.137
LTU;TOT;2005;0.145
LTU;TOT;2006;0.136
LTU;TOT;2007;0.132
LTU;TOT;2008;0.146
LTU;TOT;2009;0.15
LTU;TOT;2010;0.127
LTU;TOT;2011;0.126
LTU;TOT;2012;0.143
LTU;TOT;2013;0.124
LTU;TOT;2014;0.157
LTU;TOT;2015;0.165
LTU;TOT;2016;0.168
LTU;TOT;2017;0.173
LTU;TOT;2018;0.155
LTU;TOT;2019;0.154
BRA;TOT;2006;0.212
BRA;TOT;2009;0.206
BRA;TOT;2011;0.209
BRA;TOT;2013;0.2
BRA;TOT;2016;0.215
CHN;TOT;2011;0.288
IND;TOT;2004;0.198
IND;TOT;2011;0.197
RUS;TOT;2011;0.146
RUS;TOT;2016;0.127
RUS;TOT;2017;0.115
ZAF;TOT;2015;0.272
ZAF;TOT;2017;0.277
CRI;TOT;2010;0.2
CRI;TOT;2011;0.207
CRI;TOT;2012;0.213
CRI;TOT;2013;0.21
CRI;TOT;2014;0.215
CRI;TOT;2015;0.206
CRI;TOT;2016;0.209
CRI;TOT;2017;0.204
CRI;TOT;2018;0.209
CRI;TOT;2019;0.199
CRI;TOT;2020;0.205
BGR;TOT;2006;0.176
BGR;TOT;2007;0.166
BGR;TOT;2008;0.159
BGR;TOT;2009;0.152
BGR;TOT;2010;0.15
BGR;TOT;2011;0.162
BGR;TOT;2012;0.154
BGR;TOT;2013;0.16
BGR;TOT;2014;0.166
BGR;TOT;2015;0.168
BGR;TOT;2016;0.169
BGR;TOT;2017;0.162
BGR;TOT;2018;0.167
BGR;TOT;2019;0.176
ROU;TOT;2006;0.192
ROU;TOT;2007;0.17
ROU;TOT;2008;0.166
ROU;TOT;2009;0.16
ROU;TOT;2010;0.167
ROU;TOT;2011;0.167
ROU;TOT;2012;0.165
ROU;TOT;2013;0.182
ROU;TOT;2014;0.187
ROU;TOT;2015;0.193
ROU;TOT;2016;0.18
ROU;TOT;2017;0.179
ROU;TOT;2018;0.174
ROU;TOT;2019;0.17